,carpark_number
0,A11
1,A12
2,A15
3,A20
4,A25
5,A30
6,A34
7,A37
8,A38
9,A39
10,A40
11,A43
12,A50
13,A60
14,A65
15,A66
16,A67
17,A68
18,A69
19,A70
20,A71
21,A72
22,A81
23,A82
24,A85
25,A9
26,A98
27,ACB
28,ACM
29,AM16
30,AM18
31,AM20
32,AM22
33,AM32
34,AM46
35,AM79
36,AM80
37,AM81
38,AM96
39,AR5M
40,AR9
41,B10
42,B14
43,B16
44,B17
45,B20
46,B30
47,B31
48,B32
49,B33
50,B34
51,B35
52,B42
53,B45
54,B51
55,B52
56,B53
57,B6
58,B63
59,B65
60,B66
61,B7
62,B70
63,B71
64,B75
65,B7A
66,B8
67,B80
68,B84
69,B88
70,B9
71,B90
72,BBM1
73,BBM3
74,BBM5
75,BBM7
76,BBM8
77,BBM9
78,BE12
79,BE23
80,BE36
81,BE37
82,BE38
83,BE39
84,BE40
85,BE42
86,BE45
87,BE7
88,BE8
89,BH1
90,BH2
91,BJ1
92,BJ10
93,BJ11
94,BJ12
95,BJ17
96,BJ18
97,BJ2
98,BJ28
99,BJ3
100,BJ30
101,BJ31
102,BJ32
103,BJ33
104,BJ34
105,BJ35
106,BJ36
107,BJ37
108,BJ38
109,BJ39
110,BJ40
111,BJ41
112,BJ42
113,BJ43
114,BJ45
115,BJ48
116,BJ49
117,BJ51
118,BJ52
119,BJ55
120,BJ56
121,BJ65
122,BKE7
123,BL10
124,BL13
125,BL18
126,BL19
127,BL3
128,BL8
129,BM1
130,BM2
131,BM26
132,BM28
133,BM29
134,BM3
135,BM30
136,BM5
137,BM9
138,BMVM
139,BP1
140,BP2
141,BR5
142,BRB1
143,BRBL
144,BRM3
145,BRM4
146,BTM
147,BTM2
148,BWM
149,C10
150,C12
151,C13M
152,C14M
153,C17
154,C20
155,C20M
156,C21M
157,C22M
158,C24
159,C25
160,C26
161,C27
162,C32
163,C3M
164,C4M
165,C5
166,C6
167,C7
168,C8
169,C9
170,CC5
171,CC6
172,CC7
173,CK12
174,CK13
175,CK16
176,CK17
177,CK19
178,CK20
179,CK22
180,CK23
181,CK24
182,CK25
183,CK28
184,CK29
185,CK3
186,CK30
187,CK31
188,CK32
189,CK33
190,CK34
191,CK36
192,CK37
193,CK38
194,CK39
195,CK3A
196,CK4
197,CK40
198,CK41
199,CK42
200,CK44
201,CK45
202,CK46
203,CK47
204,CK48
205,CK49
206,CK50
207,CK51
208,CK52
209,CK55
210,CK60
211,CK61
212,CK7
213,CK8
214,CK8A
215,CKM1
216,CKT1
217,CR2
218,CR29
219,CR3
220,CR30
221,CR31
222,CR7
223,CY
224,EPM
225,FR2C
226,FR3M
227,FR4M
228,GBM
229,GE1A
230,GE1F
231,GE1G
232,GE2
233,GE3
234,GE5
235,GM1A
236,HE12
237,HE3
238,HG10
239,HG11
240,HG22
241,HG41
242,HG43
243,HG44
244,HG64
245,HLM
246,J1
247,J10
248,J11
249,J2
250,J27
251,J3
252,J32
253,J33
254,J34
255,J36
256,J37
257,J38
258,J39
259,J4
260,J40
261,J41
262,J43
263,J45
264,J46
265,J48
266,J49
267,J50
268,J51
269,J52
270,J53
271,J54
272,J55
273,J56
274,J57
275,J57L
276,J60L
277,J60M
278,J61
279,J62
280,J62M
281,J63
282,J65
283,J69
284,J70
285,J71
286,J72
287,J73
288,J74
289,J75M
290,J76M
291,J77M
292,J78M
293,J79M
294,J80M
295,J81M
296,J82M
297,J83M
298,J84M
299,J85M
300,J86M
301,J88M
302,J89M
303,J98M
304,J99M
305,JB1
306,JB2
307,JB3
308,JB4
309,JBM
310,JBM2
311,JKM
312,JKS
313,JM1
314,JM10
315,JM12
316,JM13
317,JM14
318,JM15
319,JM18
320,JM19
321,JM22
322,JM23
323,JM25
324,JM28
325,JM29
326,JM30
327,JM31
328,JM7
329,JRM
330,K2
331,K2T
332,K7
333,KB1
334,KB10
335,KB11
336,KB12
337,KB14
338,KB17
339,KB3
340,KB4
341,KB7
342,KBM
343,KLM
344,KM2
345,KM3
346,KM4
347,KTM5
348,KTM6
349,LT1
350,LT2
351,LT3
352,M1
353,M16
354,M20
355,M25
356,M3
357,M32
358,M35
359,M36
360,M37
361,M38
362,M4
363,MLM
364,MM1
365,MM2
366,MM3
367,MM4
368,MN1
369,MN2
370,MNRM
371,MP1
372,MP12
373,MP13
374,MP17
375,MP1M
376,MP2
377,MP5
378,MP5M
379,MP5S
380,MP6
381,MR4
382,NBRM
383,P1
384,P2
385,P3
386,P4
387,P5
388,P6
389,PL14
390,PL15
391,PL25
392,PL29
393,PL30
394,PL31
395,PL32
396,PL33
397,PL39
398,PL40
399,PL41
400,PL42
401,PL44
402,PL45
403,PL46
404,PL48
405,PL67
406,PL68
407,PL69
408,PM11
409,PM13
410,PM14
411,PM16
412,PM17
413,PM18
414,PM19
415,PM27
416,PM28
417,PM29
418,PM3
419,PM30
420,PM36
421,PM37
422,PM40
423,PM41
424,PM45
425,PM6
426,PM7
427,PP1
428,PP2
429,PP3
430,PP4
431,PP5
432,PR1
433,Q81
434,Q84
435,Q87
436,Q89
437,RCM
438,RHM
439,S19L
440,S24L
441,SAM2
442,SB15
443,SB16
444,SB18
445,SB19
446,SB2
447,SB21
448,SB22
449,SB23
450,SB24
451,SB26
452,SB27
453,SB28
454,SB29
455,SB3
456,SB30
457,SB31
458,SB34
459,SB4
460,SB5
461,SD2
462,SD3
463,SD5
464,SD9
465,SDM
466,SDM2
467,SE11
468,SE13
469,SE14
470,SE16
471,SE20
472,SE21
473,SE22
474,SE23
475,SE24
476,SE31
477,SE32
478,SE33
479,SE34
480,SE35
481,SE38
482,SE39
483,SE40
484,SE50
485,SE53
486,SG2
487,SG3
488,SK10
489,SK11
490,SK12
491,SK13
492,SK15
493,SK16
494,SK17
495,SK19
496,SK2
497,SK20
498,SK21
499,SK22
500,SK23
501,SK25
502,SK26
503,SK3
504,SK32
505,SK33
506,SK36
507,SK37
508,SK4
509,SK42
510,SK43
511,SK45
512,SK58
513,SK6
514,SK60
515,SK62
516,SK63
517,SK68
518,SK7
519,SK70
520,SK71
521,SK72
522,SK73
523,SK74
524,SK75
525,SK77
526,SK78
527,SK80
528,SK83
529,SK86
530,SK87
531,SK88
532,SK91
533,SK92
534,SK93
535,SM1
536,SM3
537,SPM
538,STAM
539,T15
540,T16
541,T17
542,T18
543,T19
544,T37
545,T41
546,T42
547,T50
548,T51
549,TB1
550,TB14
551,TB2
552,TB3
553,TB9
554,TBC3
555,TBM2
556,TBM3
557,TBM4
558,TBMT
559,TE14
560,TE2
561,TE25
562,TE3
563,TE4
564,TG1
565,TG2
566,TG3
567,TG6
568,TG7
569,TGM1
570,TGM2
571,TGM3
572,TGML
573,TJ28
574,TJ31
575,TJ34
576,TJ37
577,TM25
578,TM26
579,TM27
580,TM36
581,TM37
582,TM42
583,TM43
584,TP10
585,TP14
586,TP16
587,TP17
588,TP18
589,TP2
590,TP27
591,TP31
592,TP36
593,TPM
594,TPM4
595,TPM5
596,TPM6
597,TPMG
598,TPMN
599,TPMP
600,TR1
601,TRS
602,TW1
603,TW2
604,TW3
605,TWM3
606,U1
607,U10
608,U13
609,U15
610,U17
611,U18
612,U19
613,U2
614,U21
615,U22
616,U23
617,U24
618,U25
619,U26
620,U27
621,U28
622,U29
623,U3
624,U30
625,U31
626,U32
627,U33
628,U34
629,U38
630,U39
631,U4
632,U40
633,U41
634,U43
635,U45
636,U46
637,U48
638,U5
639,U6
640,U9
641,UA2
642,UA3
643,UA5
644,UAM1
645,UBK2
646,UBK4
647,UBK5
648,UBKM
649,W10
650,W101
651,W102
652,W107
653,W13
654,W14
655,W17
656,W18
657,W181
658,W19
659,W21
660,W23
661,W24
662,W28
663,W3
664,W30
665,W36
666,W37
667,W39
668,W4
669,W40
670,W44
671,W45
672,W48
673,W49
674,W5
675,W50
676,W51
677,W52
678,W54
679,W57
680,W58
681,W5M
682,W6
683,W64
684,W7
685,W780
686,WCB
687,WDB1
688,Y10
689,Y11
690,Y13
691,Y15
692,Y20
693,Y21
694,Y21M
695,Y23
696,Y24
697,Y27
698,Y28
699,Y28M
700,Y3
701,Y33
702,Y39
703,Y3M
704,Y4
705,Y48
706,Y48M
707,Y49
708,Y49L
709,Y49M
710,Y52M
711,Y56
712,Y57
713,Y7
714,Y8
715,Y9
